BU_ATCC8492_00001	820.ERS852554_01920	99.6	461	100	100	0.0	907
BU_ATCC8492_00002	820.ERS852554_01919	99.6	260	100	100	1.09e-189	516
BU_ATCC8492_00003	820.ERS852554_01918	99.9	845	100	100	0.0	1720
BU_ATCC8492_00004	820.ERS852554_01917	99.7	897	100	100	0.0	1887
BU_ATCC8492_00005	820.ERS852554_00451	60.0	25	22.5	86.2	1.85e-05	36.2
BU_ATCC8492_00006	820.ERS852554_00325	83.1	71	100	100	5.79e-33	105
BU_ATCC8492_00007	820.ERS852554_00326	78.1	73	100	100	3.69e-39	121
BU_ATCC8492_00008	820.ERS852554_00327	81.3	139	100	100	1.23e-81	233
BU_ATCC8492_00009	820.ERS852554_00328	43.1	443	100	100	9.36e-115	340
BU_ATCC8492_00010	820.ERS852554_00329	82.4	85	100	100	2.98e-48	145
BU_ATCC8492_00011	820.ERS852554_00330	79.2	72	98.6	93.5	9.36e-38	117
BU_ATCC8492_00012	820.ERS852554_00331	81.8	77	76.2	95.1	5.71e-45	137
BU_ATCC8492_00013	820.ERS852554_00332	81.4	102	100	100	1.43e-56	167
BU_ATCC8492_00014	820.ERS852554_00395	54.8	73	100	98.6	1.42e-25	87.0
BU_ATCC8492_00015	820.ERS852554_00334	81.1	175	100	100	2.93e-102	288
BU_ATCC8492_00016	820.ERS852554_00335	88.1	168	100	100	4.01e-110	308
BU_ATCC8492_00017	820.ERS852554_00336	76.3	300	100	99.7	7.93e-166	459
BU_ATCC8492_00018	820.ERS852554_00337	90.1	191	100	100	1.70e-127	353
BU_ATCC8492_00019	820.ERS852554_00338	95.1	328	100	100	2.28e-232	630
BU_ATCC8492_00020	820.ERS852554_00339	84.4	450	99.8	99.8	2.66e-249	683
BU_ATCC8492_00021	820.ERS852554_00340	72.5	91	89.2	98.9	7.04e-46	140
BU_ATCC8492_00022	820.ERS852554_00341	96.1	207	100	100	6.87e-144	396
BU_ATCC8492_00023	820.ERS852554_00342	95.5	334	100	100	8.03e-220	599
BU_ATCC8492_00024	820.ERS852554_00343	74.6	209	100	100	5.68e-105	298
BU_ATCC8492_00025	820.ERS852554_00344	86.5	126	99.2	100	1.69e-80	229
BU_ATCC8492_00026	820.ERS852554_00345	94.7	834	100	100	0.0	1574
BU_ATCC8492_00027	820.ERS852554_00346	98.1	108	98.2	98.2	1.22e-72	208
BU_ATCC8492_00028	820.ERS852554_00347	91.4	105	100	100	5.08e-60	176
BU_ATCC8492_00029	820.ERS852554_00348	56.7	247	100	97.5	1.14e-83	247
BU_ATCC8492_00030	820.ERS852554_00350	46.6	58	47.5	39.7	6.43e-13	58.5
BU_ATCC8492_00031	820.ERS852554_00349	42.5	73	49.0	64.6	3.22e-18	72.4
BU_ATCC8492_00032	820.ERS852554_00351	49.8	251	99.6	99.2	3.19e-87	256
BU_ATCC8492_00034	820.ERS852554_00352	88.7	142	100	100	2.97e-86	245
BU_ATCC8492_00035	820.ERS852554_00353	81.3	416	100	100	5.34e-243	664
BU_ATCC8492_00036	820.ERS852554_00354	91.6	308	100	45.8	7.84e-211	588
BU_ATCC8492_00037	820.ERS852554_03166	34.5	333	48.5	54.3	9.93e-39	147
BU_ATCC8492_00038	820.ERS852554_00354	96.7	359	92.3	53.4	4.99e-244	676
BU_ATCC8492_00042	820.ERS852554_00357	56.4	204	100	100	2.70e-76	225
BU_ATCC8492_00043	820.ERS852554_00358	47.5	139	100	99.3	3.67e-41	131
BU_ATCC8492_00044	820.ERS852554_00454	65.3	430	98.9	97.5	4.53e-194	542
BU_ATCC8492_00045	820.ERS852554_03675	58.6	766	98.0	98.5	4.99e-298	833
BU_ATCC8492_00046	820.ERS852554_03231	57.6	33	78.6	4.2	7.81e-08	42.7
BU_ATCC8492_00051	820.ERS852554_03922	28.5	281	41.7	88.6	1.15e-14	72.0
BU_ATCC8492_00052	820.ERS852554_03609	25.4	362	100	99.4	4.48e-10	56.6
BU_ATCC8492_00053	820.ERS852554_03920	46.6	279	97.9	92.4	4.40e-79	239
BU_ATCC8492_00054	820.ERS852554_03919	38.5	179	46.4	87.3	2.82e-35	125
BU_ATCC8492_00055	820.ERS852554_03917	26.3	95	25.3	16.1	1.93e-06	46.6
BU_ATCC8492_00056	820.ERS852554_00457	80.1	1961	100	100	0.0	2973
BU_ATCC8492_00057	820.ERS852554_00458	84.0	150	100	100	9.29e-87	247
BU_ATCC8492_00058	820.ERS852554_00459	86.5	703	100	100	0.0	1211
BU_ATCC8492_00059	820.ERS852554_00460	84.1	529	100	100	2.36e-302	824
BU_ATCC8492_00060	820.ERS852554_00461	86.2	116	100	100	2.70e-72	208
BU_ATCC8492_00061	820.ERS852554_00462	59.5	121	100	100	6.42e-38	121
BU_ATCC8492_00062	820.ERS852554_00463	86.6	97	100	100	1.79e-59	174
BU_ATCC8492_00063	820.ERS852554_00464	82.0	100	100	99.0	1.55e-57	169
BU_ATCC8492_00064	820.ERS852554_00465	84.2	120	100	100	6.01e-71	205
BU_ATCC8492_00065	820.ERS852554_00466	96.4	411	100	100	5.39e-298	803
BU_ATCC8492_00067	820.ERS852554_01916	100	121	100	100	7.30e-86	243
BU_ATCC8492_00068	820.ERS852554_01915	99.4	172	100	100	1.91e-126	349
BU_ATCC8492_00069	820.ERS852554_01914	99.1	338	100	100	2.96e-249	674
BU_ATCC8492_00070	820.ERS852554_01913	98.7	299	100	100	2.76e-223	605
