PV_ATCC8482_00001	435590.BVU_0001	100	468	100	99.4	0.0	929
PV_ATCC8482_00002	435590.BVU_0002	100	246	100	100	7.78e-181	493
PV_ATCC8482_00003	435590.BVU_0003	100	848	100	100	0.0	1714
PV_ATCC8482_00004	435590.BVU_0004	100	990	98.9	100	0.0	1910
PV_ATCC8482_00005	435590.BVU_0005	100	122	100	100	2.56e-89	251
PV_ATCC8482_00006	435590.BVU_0006	100	293	100	100	6.53e-217	588
PV_ATCC8482_00007	435590.BVU_0007	100	341	100	100	4.65e-257	694
PV_ATCC8482_00008	435590.BVU_0008	100	438	100	100	0.0	872
PV_ATCC8482_00009	435590.BVU_0009	100	557	100	100	0.0	1118
PV_ATCC8482_00011	435590.BVU_0010	100	230	100	100	1.56e-163	448
PV_ATCC8482_00012	435590.BVU_0011	100	147	100	100	4.58e-95	268
PV_ATCC8482_00013	435590.BVU_0012	100	89	100	100	1.50e-59	174
PV_ATCC8482_00014	435590.BVU_0013	100	114	100	100	3.22e-77	220
PV_ATCC8482_00015	435590.BVU_0014	100	148	100	100	1.66e-102	287
PV_ATCC8482_00017	435590.BVU_0015	100	232	100	100	4.17e-169	462
PV_ATCC8482_00018	435590.BVU_0016	100	522	98.1	100	0.0	1006
PV_ATCC8482_00019	435590.BVU_0017	100	719	100	100	0.0	1432
PV_ATCC8482_00021	435590.BVU_0018	100	376	100	100	4.19e-289	778
PV_ATCC8482_00022	435590.BVU_0024	36.4	55	87.3	40.7	7.60e-04	32.3
PV_ATCC8482_00023	435590.BVU_0019	100	413	100	100	5.30e-304	818
PV_ATCC8482_00024	435590.BVU_0020	100	273	90.7	100	2.26e-203	553
PV_ATCC8482_00025	435590.BVU_0021	100	488	100	100	0.0	1002
PV_ATCC8482_00026	435590.BVU_0022	100	328	100	100	2.11e-251	678
PV_ATCC8482_00027	435590.BVU_0023	100	208	100	100	1.35e-144	398
PV_ATCC8482_00028	435590.BVU_0024	100	135	100	100	2.10e-92	260
PV_ATCC8482_00029	435590.BVU_0025	100	296	100	100	3.09e-212	577
PV_ATCC8482_00030	435590.BVU_0026	100	891	100	100	0.0	1810
PV_ATCC8482_00031	435590.BVU_0027	100	343	100	100	2.89e-252	682
PV_ATCC8482_00032	435590.BVU_0028	100	645	100	100	0.0	1332
PV_ATCC8482_00033	435590.BVU_0029	100	681	100	100	0.0	1434
PV_ATCC8482_00034	435590.BVU_0030	100	864	100	100	0.0	1778
PV_ATCC8482_00035	435590.BVU_0031	100	527	100	100	0.0	1111
PV_ATCC8482_00036	435590.BVU_0032	100	835	100	99.8	0.0	1778
PV_ATCC8482_00037	435590.BVU_0033	100	1349	99.9	100	0.0	2484
PV_ATCC8482_00038	435590.BVU_0034	100	537	100	100	0.0	1022
PV_ATCC8482_00039	435590.BVU_0035	100	169	100	100	3.22e-126	348
PV_ATCC8482_00040	435590.BVU_0037	100	644	100	100	0.0	1339
PV_ATCC8482_00041	435590.BVU_0038	100	1023	100	100	0.0	2075
PV_ATCC8482_00042	435590.BVU_0039	100	578	91.5	100	0.0	1214
PV_ATCC8482_00043	435590.BVU_0040	100	323	100	100	3.53e-261	702
PV_ATCC8482_00044	435590.BVU_0041	100	373	100	100	3.05e-285	768
PV_ATCC8482_00045	435590.BVU_0042	100	321	100	100	4.10e-225	611
PV_ATCC8482_00046	435590.BVU_0043	100	497	97.1	100	0.0	960
PV_ATCC8482_00047	435590.BVU_0044	100	263	100	100	3.10e-209	566
PV_ATCC8482_00048	435590.BVU_0020	100	273	90.7	100	2.26e-203	553
PV_ATCC8482_00049	435590.BVU_0046	100	462	100	100	0.0	913
PV_ATCC8482_00050	435590.BVU_0047	100	211	100	100	2.00e-152	418
PV_ATCC8482_00051	435590.BVU_0048	100	346	100	100	7.17e-259	699
PV_ATCC8482_00052	435590.BVU_0049	100	639	100	98.3	0.0	1264
PV_ATCC8482_00053	435590.BVU_0050	100	217	100	100	4.89e-156	428
PV_ATCC8482_00054	435590.BVU_0051	100	431	100	100	1.59e-305	824
PV_ATCC8482_00055	435590.BVU_0052	100	180	100	100	2.70e-128	355
PV_ATCC8482_00056	435590.BVU_0053	100	260	100	100	2.07e-192	523
PV_ATCC8482_00057	435590.BVU_0054	100	324	100	100	8.58e-224	608
PV_ATCC8482_00058	435590.BVU_0055	100	600	100	100	0.0	1174
PV_ATCC8482_00059	435590.BVU_0056	100	191	100	100	6.30e-137	377
PV_ATCC8482_00060	435590.BVU_0057	100	387	100	100	1.16e-287	775
